"dataset","arm","spec","erc50","erc50_lo","erc50_hi","nsec","max_rhat","divergent"
1,"A","disp",4.93902491202837,4.25459074818923,5.67895373780041,1.97381357021301,1.00253410468638,0
1,"B1","disp",4.79103914687396,4.10660498303482,5.62345907586751,2.14302157890743,1.00413859726984,0
1,"B2","disp",4.79103914687396,3.84762989401461,6.15990747455224,2.11255442205116,1.0025355149902,0
1,"B3","disp",4.69854804365246,4.06960854174622,5.4199786487802,2.25115564581206,1.00192935590775,0
1,"C","disp",4.84653380880686,4.14360142432343,5.64195729651181,2.03175170206398,1.00267157739108,0
1,"D","disp",5.07256230706315,3.98497889606163,6.80829744940051,2.00603112900117,1.00505971207994,0
1,"A","homosced",5.05001423589418,4.38407829269934,5.75294662037761,2.2424265376632,1.00250393494795,0
1,"B1","homosced",4.80953736751826,4.19909608625633,5.5494661932903,2.2614099550211,1.00379819485796,0
1,"B2","homosced",4.56906049914235,3.7366405701488,5.4569750900688,3.15996890158337,1.00630673466473,0
1,"B3","homosced",4.71704626429676,4.14360142432343,5.36448398684729,2.43719240480118,1.00272219147157,0
1,"C","homosced",5.06851245653848,4.43957295463224,5.69791441396082,2.1194171242918,1.00603551747659,0
1,"D","homosced",4.90462663330556,3.91280654103009,5.7922866231671,2.28030168150336,1.01385902812547,3
2,"A","disp",5.12400711847138,4.62455516107525,5.67895373780041,1.70529917271456,1.00362141893515,0
2,"B1","disp",4.97602135331697,4.47656939592084,5.5864626345789,2.11321447512759,1.01294676512328,0
2,"B2","disp",5.4754733107131,4.42107473398794,7.14031316870019,1.70822793809931,1.00440174266121,0
2,"B3","disp",4.90202847073977,4.42107473398794,5.4199786487802,2.33804676359331,1.00743446643091,0
2,"C","disp",5.14250533911568,4.58755871978665,5.79040551718232,1.67542416237044,1.00419327197534,3
2,"D","disp",5.20851023343834,4.68071240162878,6.05618553907188,1.69398533776203,1.00167564098888,0
2,"A","homosced",5.08701067718278,4.47656939592084,5.71595017908901,2.40174189033011,1.00427268673081,0
