"par","family","link","prior_type","prior_dist","reads_response","anchor_of_mean","anchor_of_mode","sd_over_y_range_min","sd_over_y_range_max","p_truth_min","p_truth_max","cells_outside_95","n_cells","example_prior","lb","ub","jss_specification"
"bot","bernoulli","identity","regularizing","beta",FALSE,"fixed","fixed",0.143719051581219,0.143719051581219,0.2262190625,0.2262190625,0,15,"beta(1, 5)",0,1,"not described by JSS"
"bot","bernoulli","logit","regularizing","normal",TRUE,"y_min","y_min",0.375533808099405,0.503600092943849,0.639325615642311,0.683776501649375,0,15,"normal(-4.59511985013459, 4.62820556723181)",NA,NA,"not described by JSS"
"bot","Beta","identity","regularizing","beta",FALSE,"fixed","fixed",0.142582052597356,0.146619086474324,0.2262190625,0.2262190625,0,15,"beta(1, 5)",0,1,"not described by JSS"
"bot","Beta","logit","regularizing","normal",TRUE,"y_min","y_min",0.203546499556374,0.312552911108358,0.548467890308685,0.953369757638837,0,15,"normal(-6.55094150974795, 2.58151649363275)",NA,NA,"not described by JSS"
"bot","beta_binomial","identity","regularizing","beta",FALSE,"fixed","fixed",0.141000007211963,0.141000007211963,0.2262190625,0.2262190625,0,15,"beta(1, 5)",0,1,"not described by JSS"
"bot","beta_binomial","logit","regularizing","normal",TRUE,"y_min","y_min",0.232055671326742,0.316944637344881,0.5,0.906570748322847,0,15,"normal(-7.6004023345004, 4.40070155319172)",NA,NA,"not described by JSS"
"bot","binomial","identity","regularizing","beta",FALSE,"fixed","fixed",0.141000007211963,0.14835075561322,0.2262190625,0.2262190625,0,15,"beta(1, 5)",0,1,"not described by JSS"
"bot","binomial","logit","regularizing","normal",TRUE,"y_min","y_min",0.232132343330546,0.339656535480624,0.5,0.906497941860423,0,15,"normal(-7.6004023345004, 4.64234521457779)",NA,NA,"not described by JSS"
"bot","Gamma","identity","regularizing","gamma",TRUE,"none (fixed prior)","none (fixed prior)",0.0432264560216784,0.0737777325281676,0.583338074011693,0.823268972526695,0,15,"gamma(5, 2.77521541035796)",0,NA,"not described by JSS"
"bot","Gamma","log","regularizing","normal",TRUE,"y_min","y_min",0.20925108468728,0.333864971867907,0.565901691785542,0.827772978467963,0,15,"normal(0.317447864313447, 0.739072204535124)",NA,NA,"not described by JSS"
"bot","gaussian","identity","regularizing","normal",TRUE,"y_min","y_min",0.238109092558401,0.375631669538804,0.516305181216359,0.746146647129009,0,15,"normal(1.0317078803947, 3.63701423837874)",NA,NA,"not described by JSS"
"bot","gaussian","log","regularizing","normal",TRUE,"y_min","y_min",0.194091081645687,0.33185902258317,0.585199516275999,0.989108899310771,2,15,"normal(-0.489341736356558, 0.755870903830715)",NA,NA,"not described by JSS"
"bot","hurdle_gamma","identity","regularizing","gamma",TRUE,"none (fixed prior)","none (fixed prior)",0.0371509006212923,0.0720423173389687,0.620925741560838,0.916675756136808,0,15,"gamma(5, 3.20027657402939)",0,NA,"not described by JSS"
"bot","hurdle_gamma","log","regularizing","gamma",TRUE,"none (fixed prior)","none (fixed prior)",0.0363675874314803,0.0840900681155021,0.0294375300773751,0.175408250446726,0,15,"gamma(5, 2.86873035856077)",0,NA,"not described by JSS"
"bot","negbinomial","identity","regularizing","gamma",TRUE,"none (fixed prior)","none (fixed prior)",0.00361716878713202,0.0265910786513488,0.670102189354656,0.999998948131489,12,15,"gamma(5, 4.54545454545454)",0,NA,"not described by JSS"
"bot","negbinomial","log","regularizing","normal",TRUE,"y_min","y_min",0.144489396672544,0.253901564877776,0.384285321074786,0.999997620628577,6,15,"normal(-3.91202300542815, 1.30667674425008)",NA,NA,"not described by JSS"
"bot","poisson","identity","regularizing","gamma",TRUE,"none (fixed prior)","none (fixed prior)",0.00910990657499916,0.038583133729408,0.670102189354656,0.999998199784947,9,15,"gamma(5, 4.54545454545454)",0,NA,"not described by JSS"
"bot","poisson","log","regularizing","normal",TRUE,"y_min","y_min",0.163058442435922,0.325750464287645,0.5,0.999983797714361,1,15,"normal(0.693147180559945, 0.988095604120017)",NA,NA,"not described by JSS"
"bot","zero_inflated_beta","identity","regularizing","beta",FALSE,"fixed","fixed",0.142988980513185,0.147290155507451,0.2262190625,0.2262190625,0,15,"beta(1, 5)",0,1,"not described by JSS"
"bot","zero_inflated_beta","logit","regularizing","beta",FALSE,"fixed","fixed",0.142106805692531,0.147422836809812,0,0,15,15,"beta(1, 5)",0,1,"not described by JSS"
